Harapan_Lama_Sekolah;Pengeluaran_Perkapita;Rerata_Lama_Sekolah;Usia_Harapan_Hidup;IPM
1238;10409;726;643;Normal
1365;10198;832;6852;High
1246;9064;715;6593;Normal
145;12390;1037;7253;High
1286;9153;796;6525;Normal
1362;10028;891;6177;Normal
1338;8548;744;6253;Normal
1236;7736;788;7094;Normal
1324;9494;796;6777;Normal
1195;11072;809;6645;Normal
1253;8408;751;6855;Normal
1397;8770;1003;6609;Normal
123;6335;969;6345;Normal
1282;7580;976;6514;Normal
1417;10243;968;6645;High
1304;10347;879;6644;Normal
1231;7623;883;6296;Normal
1348;8720;892;6185;Normal
1277;9480;846;5962;Normal
1235;6918;859;6255;Normal
127;7600;795;6636;Normal
1604;14148;122;7063;Very-High
1398;7405;1053;6568;Normal
1368;8140;909;6845;Normal
132;7467;837;6634;Normal
1311;7966;901;6415;Normal
1277;7040;9;6339;Normal
1279;7142;81;6593;Normal
1361;7519;862;6961;Normal
1276;7973;827;6908;Normal
1293;6378;74;6735;Normal
1265;6467;767;6222;Normal
1575;13290;1181;7106;Very-High
1432;8316;995;6943;High
1313;7929;769;6614;Normal
1463;7446;897;685;Normal
1241;8151;858;6493;Normal
1163;8034;708;6024;Normal
1242;9708;822;6099;Normal
1366;11977;834;6882;High
1317;6188;749;6639;Normal
1372;7350;833;6622;Normal
1206;7882;802;6483;Normal
1218;4903;539;602;Low
1347;5245;696;6525;Low
1235;5505;663;676;Low
1172;5009;512;6726;Low
1439;13744;1119;7093;High
1111;6955;676;6593;Normal
1414;10201;873;6707;High
1253;7545;56;599;Low
1439;9989;1005;6716;High
1218;8856;1001;6815;Normal
1274;7491;947;6917;Normal
142;9607;1034;6829;High
105;6377;477;6662;Low
749;5289;374;6533;Low
1269;11400;1018;7236;High
1108;7864;879;6032;Normal
1079;6327;651;6531;Low
93;5736;508;5859;Low
762;4895;427;6605;Low
647;5429;304;6454;Low
861;4841;365;6583;Low
1229;6617;883;6646;Normal
1243;8926;802;6678;Normal
128;6788;921;6642;Normal
13;5708;887;6606;Normal
118;4603;587;58;Low
387;3976;142;5543;Low
889;4393;343;6611;Low
922;4487;333;6375;Low
932;4664;301;6549;Low
54;5412;216;6586;Low
1059;5415;494;6585;Low
766;5328;309;6569;Low
982;4673;325;6536;Low
1502;14937;1157;7052;Very-High
1308;11156;854;7157;High
1431;9492;933;6993;High
1376;7085;934;6526;Normal
1431;8707;853;6739;Normal
1442;8089;887;6435;Normal
14;8020;966;6814;Normal
1303;8489;815;6872;Normal
1427;10673;985;6885;High
146;9516;937;6798;High
1472;9641;1032;6978;High
1446;9816;899;6694;High
1483;8857;928;7122;High
147;8122;863;688;Normal
1358;8316;866;65;Normal
1377;8791;82;6547;Normal
1359;8327;89;6958;Normal
1413;8216;868;6922;Normal
1398;9615;87;6716;Normal
1346;11098;979;6922;High
1482;10071;933;7014;High
1779;16778;1265;7145;Very-High
1395;11273;1114;7051;High
1535;12057;1111;6942;High
152;11367;1091;716;High
1461;7317;784;6402;Normal
1323;10420;954;691;High
1257;6898;536;6975;Normal
1332;9684;862;626;Normal
1324;11236;928;6491;High
1306;10071;862;6715;Normal
1369;11648;985;6863;High
1345;12154;1052;7008;High
1273;11150;924;6993;High
126;10890;879;6826;High
1278;11308;96;7122;High
131;10350;958;69;High
1276;12349;979;714;High
1335;12225;1009;7173;High
1305;11071;865;688;High
1223;6974;585;6874;Normal
1328;7850;954;6927;Normal
1386;8170;903;6574;Normal
1347;8422;943;7127;High
126;10950;854;6868;High
1263;10410;806;6696;Normal
1287;9987;937;6717;Normal
1303;8807;901;6709;Normal
13;11495;875;6871;High
1304;11779;84;6946;High
1303;6064;658;6943;Normal
1294;5830;649;6896;Normal
1316;11473;104;6901;High
125;11132;944;6327;Normal
1445;12372;1116;7355;High
1272;12876;1031;7087;High
1474;14890;1139;7314;Very-High
1362;10997;1093;7238;High
1454;10856;11;6941;High
1374;7980;861;7119;Normal
1402;10733;899;6947;High
1282;6281;709;6473;Normal
1332;9212;826;7086;Normal
1304;10171;786;6858;Normal
1237;10361;811;6621;Normal
1433;10588;861;6994;High
1367;10998;787;6879;High
1387;9651;896;7237;High
1329;9596;799;6979;Normal
128;8425;809;674;Normal
1271;10325;828;6781;Normal
1243;11273;847;7133;High
1361;9047;819;6782;Normal
1652;14481;1158;7365;Very-High
1432;12117;1103;7361;High
1317;10182;1017;70;High
1506;10734;1162;7282;High
1497;13282;1133;7438;Very-High
1426;13281;1073;7374;High
1454;12796;1059;7028;High
132;10675;914;716;High
1333;10243;859;6855;High
1236;10202;838;7025;Normal
1191;9954;723;6785;Normal
1224;11606;85;7116;High
1276;11799;966;7111;High
1346;10796;926;7076;High
1284;9374;839;7006;Normal
1287;11331;969;712;High
1268;9362;825;703;Normal
1282;7790;77;6768;Normal
1554;14433;1168;7234;Very-High
1312;11751;1007;7093;High
1298;10392;855;7116;High
1387;9995;855;6993;High
1199;10279;776;7126;Normal
1227;11616;787;6917;Normal
1292;9825;811;7056;Normal
1283;8556;857;7127;Normal
1216;9026;67;6623;Normal
1262;9480;771;6812;Normal
126;10389;758;6999;Normal
1262;11471;827;6774;Normal
151;12056;1092;7265;High
1479;10248;1032;7211;High
1245;10652;824;6988;High
126;10020;87;682;Normal
1142;10725;704;6861;Normal
1197;10951;779;689;Normal
1234;9730;846;6604;Normal
1208;9520;752;6814;Normal
12;10088;762;6875;Normal
1175;9850;72;6897;Normal
1175;8580;784;6704;Normal
1223;11505;755;691;Normal
123;10424;786;6548;Normal
1206;9350;76;6508;Normal
1205;8196;704;6827;Normal
1157;9783;684;6568;Normal
1441;14679;1053;7079;High
1291;12723;996;7032;High
1285;8795;939;6671;Normal
1337;13243;989;6925;High
1361;10380;884;6935;High
1361;9837;926;679;High
1383;10234;828;6857;High
1287;10263;787;6819;Normal
1299;8593;837;6663;Normal
1328;8220;799;6775;Normal
1273;10266;829;6664;Normal
1257;11124;799;6329;Normal
129;9273;824;6795;Normal
1303;9392;747;6819;Normal
1602;13938;1179;7013;Very-High
1265;9982;805;7065;Normal
1225;9929;806;6758;Normal
1218;9250;722;6856;Normal
125;9875;769;6933;Normal
1285;9983;76;7073;Normal
1292;11219;758;6984;High
1248;8733;821;6921;Normal
1236;9102;77;694;Normal
1189;10683;749;6997;Normal
1236;7892;77;6904;Normal
1283;10262;838;7008;High
1163;7894;688;6819;Normal
1205;8395;724;70;Normal
1199;8457;801;635;Normal
1464;12197;1093;7137;High
1447;11906;1096;7163;High
1205;12794;806;7064;High
1277;12416;824;7106;High
1185;13554;846;7105;High
1153;12233;722;7006;Normal
1181;12909;719;7136;High
1137;11757;667;6816;Normal
1152;11730;822;7203;High
1315;15663;992;733;High
1287;14209;1012;6996;High
1242;11885;817;7091;High
